Compartment,Data
Dead,"[0.20988891176137447, 0.22823951941336695, 0.24812846984470238, 0.26967233583943895, 0.29299461880291844, 0.31822589705564086, 0.3455014272456145, 0.3749641437669806, 0.4067639535332459, 0.44105196169741134, 0.4779840588321571, 0.5177270688297515, 0.5604423258762052, 0.6062899531562387, 0.6554291231292506, 0.7080057070801669, 0.7642112890411479, 0.8241735745118435, 0.8879972055458598, 0.9557868241968563, 1.027647072518434, 1.1035950435179078, 1.1837371261482659, 1.2681583827242218, 1.356690977035397, 1.4491649287811619, 1.5454102576608797, 1.6452569833739297, 1.7485351256196786, 1.8548348386813132, 1.9637494641826017, 2.0749136386771987, 2.187594838783596, 2.30105927688383, 2.414573165360032, 2.5274027165940396, 2.6388141429679237, 2.7480736568638733, 2.8545431606792846, 2.957003379263327, 3.053850044569849, 3.1444196239675435, 3.2280853984954376, 3.3042206491925015, 3.3721986570978686, 3.431392703250509, 3.4811760686894075, 3.520922034453676, 3.5500058372538064, 3.5686449572273204, 3.57657498585354, 3.5735679129792146, 3.560122422493933, 3.536737198287341, 3.5039109242491406, 3.462142284268765, 3.411929962236087, 3.3537726420405107, 3.2881690075718666, 3.215617742719317, 3.136650881391418, 3.0528694562512584, 2.965469381431987, 2.874977040641241, 2.7819158315603545, 2.68680915187079, 2.5901803992539953, 2.4925529713913477, 2.3944502659642524, 2.2963956806542853, 2.198912613142369, 2.1025244611106473, 2.0077530009716043, 1.9147075193306762, 1.8238607083399643, 1.7356222329380273, 1.6500310156818045, 1.5671259791283774, 1.486946045834685, 1.409530138357752, 1.3349171792545746, 1.263146091082234, 1.1942557963976128, 1.1282852177578775, 1.0652732777198253, 1.0052662015880003, 0.9484320176993322, 0.8943252458706468, 0.8427198863351748, 0.7935622870843133, 0.7467987961091751, 0.7023757614011004, 0.6602395309513156, 0.6203364527511042, 0.5826128747916641, 0.5470151450643357, 0.5134896115602601, 0.4819826222707775, 0.4524405251871144, 0.4248096683004974, 0.3990137080417071, 0.37457523827370665, 0.3513851315090619, 0.3294701394331696, 0.3087880302032886, 0.2892965719768199, 0.2709535329110224, 0.25371668116326873, 0.23754378489081773, 0.22239261225109885, 0.20822093140134257, 0.19498651049894988, 0.18264711770120812, 0.17116049166489233, 0.1604090408587524, 0.15024495019360984, 0.14065855680883033, 0.13162976286793082, 0.12313847053422933, 0.11516458197127122, 0.10768799934240292, 0.10068862481105612, 0.09414636054069092, 0.0880411086947106, 0.08235277143651842, 0.07706125092960292, 0.07214644933733894, 0.06757935753489619, 0.06326857648252826, 0.05920079769418862, 0.05537239536153038, 0.051774429110423625, 0.04839795856665319, 0.045234043356174425, 0.042273743104772166, 0.039508117438344925, 0.03692822598270595, 0.034525128363753765, 0.032289884207358455, 0.030213553139276428, 0.028285989922466115, 0.026462478488952]"
Infected,"[1.0, 1.0873685834804254, 1.1820787207593442, 1.2846937935460931, 1.395810567624821, 1.5160593799106155, 1.6461034930468585, 1.7866383284820206, 1.9383912664589396, 2.1021165618427906, 2.2785937264239795, 2.468622447799299, 2.6730258987992057, 2.8926289594670593, 3.128253182850608, 3.380716015852667, 3.650804369021004, 3.939301649873884, 4.246926253988576, 4.574304750209193, 4.921971880646681, 5.290370560678813, 5.679800319238228, 6.0904101221207405, 6.522202362071384, 6.9749015889968575, 7.447952692725776, 7.9405209030086725, 8.451491789518007, 8.979471261848158, 9.522786792106595, 10.07924693241132, 10.64621353882422, 11.220744021895548, 11.799591706419525, 12.379205831434378, 12.955731550222305, 13.525009930309496, 14.082577953466142, 14.623883834190222, 15.144487881915895, 15.63929524599133, 16.103542773866558, 16.532867967259314, 16.923308982155035, 17.271304628806856, 17.573694371735602, 17.82771832972981, 18.031017275845716, 18.1816328095198, 18.278320117042743, 18.321070542424142, 18.310431244893877, 18.247387519677602, 18.133362797996753, 17.97021864706853, 17.76025477010593, 17.506209006317707, 17.21125733090841, 16.879013855078338, 16.513530826023576, 16.11881654971315, 15.698288347163382, 15.25596058850581, 14.795673398819472, 14.321063257360358, 13.835562997561373, 13.342401807032374, 12.844605227560137, 12.344995155108393, 11.84618983981779, 11.350603886005889, 10.860448252167288, 10.377730335546499, 9.90419662755373, 9.441099648900986, 8.989463653292725, 8.550183231806656, 8.124023312893742, 7.711619162378214, 7.313476383457532, 6.92997091670243, 6.561349040056872, 6.20772736883811, 5.869092855736599, 5.545302790816137, 5.2360848260164765, 4.941130096764091, 4.660144454887698, 4.392776124333982, 4.138657934645598, 3.897407320961168, 3.668626324015288, 3.451901590138517, 3.246804371257382, 3.0528905248943836, 2.869700514167981, 2.696759407792628, 2.5335768800786966, 2.3796472109325926, 2.2344492858566323, 2.097462378927685, 1.9683293665035186, 1.8467020145237312, 1.7322203275361236, 1.6245319518321726, 1.5232921754470283, 1.428163928159518, 1.3388177814921416, 1.2549319487110768, 1.1761922848261719, 1.1022922865909544, 1.0329330925026243, 0.9678234828020562, 0.9066798794738027, 0.8492485308776063, 0.7953461298162268, 0.7447834163752082, 0.6973760984136689, 0.6529458240749809, 0.6113201817867702, 0.5723327002609158, 0.5358228484935517, 0.5016360357650644, 0.46962361164009514, 0.43964286596753754, 0.41155702888054213, 0.3852352707965095, 0.3605538337264247, 0.33741773824228455, 0.31574344343632854, 0.29544748461900994, 0.2764493368352457, 0.25867141486441636, 0.2420390732203662, 0.2264806061514031, 0.21192724764029872, 0.1983131714042883, 0.18557549089507044, 0.17365425929880793, 0.1624924695361272, 0.15203605426211741, 0.14224146000735777]"
Dead,"[0.2074671316547758, 0.2258896158487095, 0.245881468792433, 0.26756364110060693, 0.29106474273693494, 0.3165202104113767, 0.34407120664070123, 0.3738672972457291, 0.40606419940276695, 0.4408188721679607, 0.47829818076338215, 0.5186733214283175, 0.5621126407261849, 0.6087844276386614, 0.6588487428195302, 0.7124892466253545, 0.7698743076814152, 0.8311276444468865, 0.8963724640577784, 0.9657319736499677, 1.0392707064334026, 1.1170880052665666, 1.1993188449526553, 1.2858434914096435, 1.3765352920173086, 1.4712675941553854, 1.5699137452035608, 1.672341707277237, 1.7780906301662753, 1.886985195165522, 1.9985727253384198, 2.112148886757506, 2.227009345495304, 2.342449767624263, 2.4577658192169594, 2.5722531663459947, 2.6852107412745596, 2.7958980607961763, 2.9026566275662944, 3.0044264516125025, 3.100453230391821, 3.1899826613611424, 3.2722604419775436, 3.3465322696979953, 3.4120438419791057, 3.468040856278691, 3.513769010052627, 3.5490793474411504, 3.573588854091952, 3.586618197170779, 3.588566058252624, 3.5798369022706993, 3.5608351941582725, 3.531965398848641, 3.493631981275044, 3.4462394063708928, 3.390192139068972, 3.325894644303318, 3.2539433108914864, 3.1760167674595294, 3.093181090242794, 3.0060544727987946, 2.915254069230741, 2.82139703364183, 2.7251005201352996, 2.6269816828142325, 2.527657675782052, 2.4277456531417556, 2.327862768996795, 2.228626177450053, 2.1304718576664072, 2.033553954015815, 1.938876382320359, 1.8465953490512845, 1.7567884228320736, 1.6695331722862932, 1.5849071660373681, 1.5029879727088087, 1.4238531609242102, 1.347580299306884, 1.2742469564804821, 1.2039307010684013, 1.1367091016942368, 1.0727037188990494, 1.0118546421834935, 0.9538014641356369, 0.8984690789947365, 0.8457967083079723, 0.7957235736223254, 0.748188896485118, 0.7031318984433028, 0.6604918010441452, 0.620207825834683, 0.5822191943620965, 0.5464651281735087, 0.5128848488160145, 0.48141757783679395, 0.4519036910619434, 0.42396868906419627, 0.39753024233840506, 0.372543367802308, 0.34896254639826907, 0.3267422590685385, 0.30583698675539495, 0.28620121040117397, 0.2677894109481542, 0.250556069338586, 0.23445566651483318, 0.2194426834191745, 0.20547160099380335, 0.19249444772452762, 0.18029179579798438, 0.16873815320204244, 0.1578540949920466, 0.14761529699862308, 0.13799743505271067, 0.128976184984964, 0.1205272226260945, 0.11262622380695575, 0.1052488643582592, 0.09837082011074472, 0.09196776689520902, 0.08601538054236357, 0.08048880299980965, 0.07531668780424638, 0.07043644306804708, 0.06584294283882741, 0.06152566593542019, 0.05747409117654456, 0.053677697380948075, 0.05012596336740671, 0.04680836795463961, 0.04371438996142274, 0.040833508206503666, 0.03815520150868679, 0.035668948686662816, 0.03336422855920773, 0.031205653550529178, 0.029157168614261764, 0.027241933108228977, 0.025452316621823456, 0.023780208741243314]"
Infected,"[1.0, 1.0877089740639816, 1.182818425360176, 1.2858989088649229, 1.3975550278789892, 1.5184255958447623, 1.649183061274822, 1.790532992967293, 1.9432131056400122, 2.1079888859520217, 2.285651537825702, 2.477015608794862, 2.6829156405894437, 2.904187999225308, 3.141669595026764, 3.396189749382902, 3.6685587323999798, 3.9595719616194844, 4.269947039419422, 4.6003195819339755, 4.951243219053493, 5.323174273319402, 5.716401041939846, 6.1311248317234055, 6.567305208484153, 7.024635916200545, 7.502544877015418, 8.000194191235996, 8.516480137333934, 9.050026822405869, 9.599008663746368, 10.161140428698115, 10.733798802929314, 11.31402495297807, 11.898524526252416, 12.483667651030277, 13.0654889364595, 13.639687472557823, 14.201791696317587, 14.747371656072051, 15.271250705615758, 15.768490760565488, 16.234484144785707, 16.664953590388592, 17.055952237733997, 17.40386363542948, 17.705401740330302, 17.95761091753941, 18.157880556205598, 18.304538630682668, 18.396964184473013, 18.435044493772462, 18.41917798299759, 18.35027422478571, 18.229753939994872, 18.059548997703885, 17.842102415212295, 17.580368358040392, 17.2778121399292, 16.938410222840478, 16.565875598416913, 16.163823735809935, 15.736390769742103, 15.287533984765739, 14.821031685582204, 14.340483197041918, 13.84930886414432, 13.350750052037924, 12.847869146020287, 12.343549551537953, 11.84049569418658, 11.341233019710867, 10.84807735420071, 10.362818149039285, 9.886863671829609, 9.421468436234925, 8.967736866461706, 8.52662329725964, 8.09893197392165, 7.685317052283865, 7.286282598725651, 6.9021825901696, 6.533220914081513, 6.179451368470407, 5.840777661888586, 5.516974342368333, 5.207853256532702, 4.913130280024864, 4.6324781428841355, 4.365548623130322, 4.111972546763717, 3.8713597877651034, 3.643299268095758, 3.427358957697443, 3.223085874492412, 3.0300060843834125, 2.8476247012536677, 2.675425886966916, 2.512872851367351, 2.359427824598977, 2.214684611087298, 2.078259085432913, 1.9497675821983815, 1.8288329166577881, 1.7150843847967396, 1.6081577633123658, 1.5076953096133185, 1.4133457618197764, 1.3247643387634325, 1.2416127399875154, 1.1635591457467642, 1.090278217007445, 1.0214510954473568, 0.956776689796339, 0.8960553389050003, 0.8390844167847253, 0.7856582514581062, 0.7355778160457345, 0.6886507287662018, 0.6446912529361004, 0.6035202969700212, 0.5649654143805561, 0.5288608037782971, 0.4950473088718352, 0.4633724184677605, 0.4336902664706655, 0.40586250893342835, 0.37977832964604785, 0.3553425911535719, 0.33246157044765867, 0.31104478827266335, 0.2910050091256374, 0.2722582412563293, 0.25472373666718406, 0.23832399111334382, 0.22298474410264665, 0.20863497889562804, 0.19520692250552016, 0.18263604569825115, 0.17086106299244666, 0.15983082309189664, 0.14950966210142613, 0.1398527971075723]"
Dead,"[0.21095897302943867, 0.22945760431196172, 0.24951140275213268, 0.2712385067234757, 0.29476410522704366, 0.320220565852823, 0.347744954064795, 0.3774821516547997, 0.4095841389196746, 0.4442041503125336, 0.4814995784476408, 0.5216399055438958, 0.5647885823546765, 0.6111073722131586, 0.6607577200119792, 0.7138848014125054, 0.7706816439426696, 0.831282545158027, 0.8957893832545452, 0.9643040364281585, 1.0369283828748035, 1.113696205360693, 1.194661329743262, 1.2799588113650735, 1.3694127192598007, 1.4628361924054865, 1.5600423697801702, 1.660844390361902, 1.7650553931287973, 1.8723304114984884, 1.9821352314581056, 2.0941621816585467, 2.207668712669257, 2.3218957108772216, 2.4360840626693516, 2.5494746544327427, 2.661308372554082, 2.770826103420667, 2.8773422836634523, 2.9798967258872295, 3.0766412688781557, 3.1668510278094786, 3.249925241072198, 3.325263147057491, 3.392263984156479, 3.4503269907600043, 3.498851405259501, 3.53723646604557, 3.5648814115099157, 3.5816665056462966, 3.587932447494424, 3.583155559226867, 3.5678384800093568, 3.5425171611032766, 3.5077275537702377, 3.464005609271638, 3.4118872788690453, 3.3519085138236875, 3.284605265397488, 3.210513484851603, 3.130122522057846, 3.0447007499386842, 2.9558373428598514, 2.864082488753482, 2.7699417391496297, 2.673920645578363, 2.576524759569679, 2.47825963265376, 2.37963081636056, 2.281143862220148, 2.1833043217626766, 2.086617746518016, 1.991589688016603, 1.8985481221344003, 1.8076142952271539, 1.719359680208214, 1.6338396453167263, 1.551083029724225, 1.4711186726022163, 1.3939754131221207, 1.3196820904554443, 1.248267543773693, 1.1797606122483444, 1.114190135050876, 1.0515849513528224, 0.9919739003256609, 0.935535942030981, 0.8819798691200447, 0.8308910714788169, 0.7822175883434852, 0.7359080956454704, 0.6919112693161367, 0.6501757852869048, 0.6106503194891104, 0.5732835478542029, 0.5380241463134894, 0.5048207907984192, 0.4736221572403565, 0.4443769215706652, 0.4170337597207947, 0.3915413476220806, 0.3676769855979387, 0.3448911274581974, 0.3233405624353338, 0.30300078936710406, 0.2838298736663205, 0.2657858807455966, 0.24882687601771636, 0.2329109248953216, 0.21799609279122478, 0.20404044511803932, 0.19100204728852077, 0.1788389647153963, 0.16750926281133616, 0.15694916487319688, 0.1469971794252274, 0.13760538455278493, 0.12875630353101997, 0.12043076596839342, 0.11260960147362198, 0.1052736396552234, 0.09840371012174387, 0.09198064248181481, 0.0859852663439824, 0.08039841131682124, 0.07520090700899118, 0.07037358302895313, 0.06589712548236548, 0.06170216449007171, 0.05773188025997911, 0.05399410930868953, 0.05048023024104964, 0.047181621661934514, 0.04408966217627608, 0.04119573038886415, 0.03849120490468749, 0.03596746432856435, 0.03361588726536979, 0.031427852320035754, 0.02939473809738047, 0.02750792320233586, 0.025739878021425966]"
Infected,"[1.0, 1.0875499977753447, 1.1824776336251646, 1.2853517731978896, 1.3967754101784005, 1.5173859077240193, 1.647854499223921, 1.7888857704583212, 1.9412170107272042, 2.1056138362803978, 2.2828683534012395, 2.4737962111289775, 2.6792352410162588, 2.9000264782333898, 3.1370123101400385, 3.3910306554643563, 3.662898718653138, 3.953426121819356, 4.263348808769939, 4.593321947215975, 4.943919928772728, 5.3156281533459735, 5.708762102935093, 6.12355736394758, 6.560023904266858, 7.017906748490997, 7.496685977932739, 7.995576730619471, 8.513529201293206, 9.049227200985152, 9.60094252767921, 10.166460708307223, 10.743221913043133, 11.328328726158311, 11.918546146021539, 12.510301585099077, 13.099684869954531, 13.682448241249041, 14.254084224188102, 14.810250716673426, 15.34580261502571, 15.85570759716733, 16.3352614272419, 16.780087955614256, 17.18613911887047, 17.54969493981784, 17.867363527484905, 18.136081077121418, 18.353112124905614, 18.51644779715766, 18.6252842570537, 18.679362483245914, 18.678936744304, 18.62477459871519, 18.518156894884225, 18.360877771133357, 18.15524465570238, 17.904078266748606, 17.610712612346866, 17.27899499048946, 16.912895151566055, 16.515821748729877, 16.091917670556054, 15.645206261091557, 15.179532566604104, 14.698563335582147, 14.205787018734899, 13.7045137689923, 13.19787544150502, 12.688825593644546, 12.180139485002968, 11.67441407739329, 11.174063263354752, 10.681085086097433, 10.196970944696831, 9.723034629249549, 9.26043958470322, 8.810198910856528, 8.373175362359195, 7.950081348711969, 7.541478934266667, 7.147779838226109, 6.769245434644187, 6.405986752425798, 6.057964475326943, 5.7249898014884275, 5.4068591598350455, 5.103335716044727, 4.8141007470271955, 4.538814471834178, 4.277116051659407, 4.0286235898386185, 3.7929341318495498, 3.569623665311953, 3.358247119987571, 3.1583383677801646, 2.9694102227354886, 2.7909544410412996, 2.622441721027388, 2.463322990503638, 2.3131318922512287, 2.171488488690264, 2.038005371489507, 1.912301556195478, 1.7940024822324574, 1.6827400129024823, 1.5781524353853487, 1.479884460738611, 1.3875872238975822, 1.300918283675332, 1.2195416227626894, 1.143127647728245, 1.0713531890183405, 1.0039015009570815, 0.940520254728872, 0.8810223058936971, 0.8251979581739549, 0.7728441608464289, 0.7237645089214252, 0.677769243142773, 0.6346752499878238, 0.594306061667452, 0.5564918561260562, 0.5210694570415553, 0.48788233382539387, 0.45678060162253625, 0.4276210213114733, 0.40027412826000075, 0.3746412051770116, 0.35062668892634197, 0.32813796276015506, 0.3070856524394342, 0.28738362623398345, 0.2689489949224272, 0.2517021117922102, 0.2355665726395975, 0.22046921576967457, 0.20634012199634827, 0.19311261464234394, 0.18072325953920923, 0.16911223991966562, 0.15823858516577485, 0.14806168462089217]"
Dead,"[0.2038560459172583, 0.2216582226027714, 0.24095282074997915, 0.26185329529964607, 0.2844800192319551, 0.30896018239922785, 0.3354259410389804, 0.36401715034972537, 0.39488041554873154, 0.4281634448530043, 0.4640213045862409, 0.5026165582770807, 0.5441088092069482, 0.588657422737386, 0.6364178562066378, 0.6875497701033737, 0.7422334588006629, 0.80059195325122, 0.8627427842290043, 0.9288034825079663, 0.9988790342465474, 1.0729849090049957, 1.1513339816443473, 1.2338754647642496, 1.3204914635844247, 1.4110640833247174, 1.5054754292048393, 1.6036076064445943, 1.705257731021618, 1.8099655084822146, 1.9176275992051401, 2.0276371996303872, 2.139329239959679, 2.2520386503945637, 2.3651003611368857, 2.477849302388222, 2.5896204043501783, 2.699769028544935, 2.807419839154747, 2.910967846906651, 3.009569304744204, 3.1025103924106787, 3.189077289649312, 3.268556176203468, 3.340233231816498, 3.4033946362315604, 3.4573265691918778, 3.50131521044095, 3.535330348671067, 3.5588676416952154, 3.5713734016302254, 3.573229744351039, 3.5648190462941187, 3.546523683895998, 3.518726033593225, 3.481808471822262, 3.436153375019458, 3.3821431196215457, 3.3201600820650725, 3.250696092232502, 3.175254525208217, 3.0949966641629345, 3.010511961860985, 2.922383035123019, 2.831192500769532, 2.737522975621232, 2.6419570764986986, 2.5450774202224693, 2.447466623613252, 2.3497073034914138, 2.252382076677975, 2.1560402566394714, 2.06068523836052, 1.9672261306650398, 1.8760404250131728, 1.7872012021422279, 1.700781542789457, 1.6168545276921407, 1.5354932375875876, 1.4567707532130498, 1.3807601553058078, 1.3075345246031418, 1.2371669418424744, 1.1697304877608303, 1.1052996859447433, 1.0440159570091225, 0.985586045016845, 0.9298052056677477, 0.8766160995833729, 0.8259613873853198, 0.7777837296949599, 0.7320257871339777, 0.6886302203237449, 0.6475396898858605, 0.6086968564418385, 0.5720443806131925, 0.5375249230214081, 0.5050811442880558, 0.47465554833914325, 0.44604692733327056, 0.4189266442303108, 0.39323849413321454, 0.3689395480715234, 0.34598687707492104, 0.324337552172949, 0.30394864439520575, 0.2847772247712328, 0.2667803643306854, 0.2499151341031336, 0.23413860511817575, 0.21940784840538186, 0.2056799349943219, 0.19291159969205296, 0.1809148848209361, 0.16953534134890447, 0.1588018056437761, 0.1486913380765884, 0.13918099901846404, 0.13024784884041196, 0.12186894791358327, 0.11402135660901536, 0.10668213529780246, 0.0998283443510104, 0.093437044139705, 0.0874852950350089, 0.0819501574079311, 0.07678774792728404, 0.07191274828394967, 0.06731622950269411, 0.06298885514095787, 0.05892070267449867, 0.05510184957893216, 0.05152237332998766, 0.0481723514032808, 0.04504186127459775, 0.042120980419554144, 0.03939978631379404, 0.03686835643313202, 0.03451676825309846, 0.03233252229128425, 0.030260494555932382, 0.028308524983316374]"
Infected,"[1.0, 1.0864319866548862, 1.1800428310592903, 1.281375864969277, 1.3910059145698415, 1.509539361368496, 1.637613446812076, 1.7758955501556994, 1.9250825838754722, 2.0858962518424207, 2.2590813817856596, 2.4454018659566663, 2.645641567965718, 2.8605842373770116, 3.091010540150371, 3.3376953872099, 3.6013852576589467, 3.882821644541152, 4.182675953082944, 4.5015350415144075, 4.8399012210692955, 5.1981920362802985, 5.576667950634835, 5.975484153861018, 6.394620093721276, 6.83379628972284, 7.292474333117728, 7.769856886902756, 8.264887685819545, 8.776252375882772, 9.30234941562833, 9.84106194112955, 10.389911890209735, 10.946125418624195, 11.506632900060229, 12.068068926137162, 12.62677230640629, 13.17878606835089, 13.719857457386336, 14.245779255825557, 14.752158605455161, 15.23415094530424, 15.687255584834363, 16.107323980291508, 16.490559734706046, 16.833518597892777, 17.133108466450885, 17.386589383763983, 17.591573540000066, 17.746038481494725, 17.84885071802259, 17.899893583583623, 17.899510804968394, 17.848485891471903, 17.748042134893574, 17.599842609537244, 17.4059901722112, 17.16902746222812, 16.891936901405128, 16.578140694063777, 16.23150082703001, 15.855639286803289, 15.45392236013391, 15.030217132029007, 14.588209190271156, 14.131400840828208, 13.663111107853274, 13.186475733684759, 12.704447178846317, 12.219794622046907, 11.735103960180716, 11.252777808327222, 10.7750354997512, 10.303912415831903, 9.841115412730215, 9.387881776892046, 8.945277575608479, 8.514238770401999, 8.095571217026466, 7.689950665467147, 7.297922759940666, 6.919903038895074, 6.556176935009793, 6.206899775195619, 5.8720967805947675, 5.551663066580802, 5.245364102394767, 4.952946296434397, 4.674147777681721, 4.408643800878346, 4.156093115870599, 3.91613796760953, 3.6884040961509146, 3.4725007366552485, 3.2680206193877552, 3.074539969718373, 2.8916185081217707, 2.7187994501773343, 2.555609506569175, 2.401558883086131, 2.2561412806217493, 2.118870018786537, 1.9894059678983895, 1.8673962850252153, 1.7524895968673493, 1.644341365778112, 1.542613889763812, 1.446976302483742, 1.3571045732501819, 1.2726815070283997, 1.1933967444366445, 1.1189467617461604, 1.0490348708811676, 0.9833712194188784, 0.9216727905894935, 0.8636867127513761, 0.8092366248419567, 0.7581348473478402, 0.7101980087239608, 0.6652486269911918, 0.6231151097363458, 0.5836317541121742, 0.5466387468373684, 0.5119821641965571, 0.4795139720403103, 0.44909202578513435, 0.42058007041347933, 0.3938477404737276, 0.36877155875654166, 0.34525512907635164, 0.3232144175467681, 0.302565909158035, 0.2832289878392354, 0.26512593645829136, 0.24818193682196446, 0.23232506967585484, 0.21748631470440216, 0.20359955053088505, 0.19060155471742127, 0.17843200376496818, 0.16703347311332117, 0.15635143714111607, 0.14633974766989308]"
Dead,"[0.20151507264547555, 0.219614816406924, 0.23927632118214004, 0.2606219211875035, 0.28378200807189835, 0.3088939628117937, 0.33610138599381845, 0.3655568598265724, 0.39741912510320265, 0.43184882704210636, 0.4690177285174033, 0.5091010561254712, 0.5522727808977894, 0.5987068427435842, 0.6485686848184544, 0.7020574690718284, 0.7593355827018753, 0.8205387578266707, 0.885802726564215, 0.9552626522955752, 1.028961281684822, 1.1070983359263522, 1.189713136656458, 1.2767052912269872, 1.3679744069896866, 1.4634200912965003, 1.5629419514989884, 1.66634592655517, 1.7732015424658307, 1.8834262277278349, 1.9963891775569067, 2.1114040415858852, 2.2277844694475775, 2.3448441107748543, 2.4618966152004447, 2.5782556323575037, 2.693245058131069, 2.8056228690216045, 2.9139362073264152, 3.01733813480395, 3.115007115553439, 3.206121613674142, 3.289860093265311, 3.365401018425949, 3.4319228532555996, 3.4886040618532377, 3.5349265460234847, 3.570756829862134, 3.594897810614043, 3.6075896738604882, 3.609180390690355, 3.600017932192614, 3.5804502694562075, 3.550825373569978, 3.511491215622897, 3.462795766704062, 3.405086997902032, 3.338817992977596, 3.265548800534077, 3.1865246611459526, 3.1024094841741174, 3.013867489470428, 2.9215628968867406, 2.8261599262746984, 2.728322797486271, 2.6287157303731874, 2.528002944787204, 2.426848660580305, 2.3259170976041617, 2.2256601595411496, 2.1262909716110414, 2.0289831789800417, 1.9339192864390213, 1.8411989989078563, 1.7509220213061383, 1.6631880585538852, 1.5780968155706034, 1.4957479972763394, 1.4162413085907133, 1.3396764544334303, 1.2661531397245085, 1.195771069383511, 1.1286638281526677, 1.0648056813253675, 1.0038647689882794, 0.9457624033400123, 0.890435921019332, 0.8378226586652602, 0.7878599529166195, 0.7404851404123178, 0.6956355577912348, 0.6532485416922498, 0.6132614287543277, 0.5756115556163195, 0.540236258917048, 0.5070716829436321, 0.4759086061295932, 0.4464057297816737, 0.4184827835618705, 0.39209310424556065, 0.3671900286082064, 0.34372689342512786, 0.32165703547178737, 0.3009337915235051, 0.28151049835571484, 0.2633404927437937, 0.246377111463147, 0.23057369128918026, 0.21588356899724204, 0.20224879945561725, 0.18937087666978414, 0.17718196954677978, 0.16570572040748743, 0.15491572507380624, 0.14478557936791958, 0.13528887911169818, 0.12639922012724014, 0.11809019823655831, 0.11033540926166552, 0.10310844902457461, 0.09638291334729843, 0.09013239805193507, 0.08432473999678791, 0.0788709420546354, 0.07373109088072738, 0.06889608346492082, 0.06435464338881047, 0.0600954942337637, 0.056107359581289984, 0.052378963012927215, 0.048899028110042764, 0.04565627845420295, 0.0426394376268604, 0.03983722920943933, 0.037238376783477634, 0.03483043697420385, 0.032554966909685845, 0.030408742875749795, 0.028402756261925788, 0.026528818664303344, 0.024778741678829874, 0.023144336901594897]"
Infected,"[1.0, 1.08679426178273, 1.1808288298464906, 1.2826542899597053, 1.3928533455461052, 1.5120408854124963, 1.6408633026116561, 1.7799978206765468, 1.9301517370751444, 2.0920577495420707, 2.2664721756016237, 2.4541713756239014, 2.6559513427757007, 2.872607994886161, 3.104934867840948, 3.3537189209707337, 3.6197205130095433, 3.903692532398837, 4.2063138501874775, 4.528179062763786, 4.869798491855553, 5.231595692992743, 5.613826414970351, 6.016655645205993, 6.440046950787704, 6.883702802586467, 7.347064575256211, 7.82931254723378, 8.329365900738978, 8.84588533603764, 9.377201398931668, 9.921127064400903, 10.475136239948096, 11.036397546018845, 11.601774316001595, 12.167824596227648, 12.730801145971133, 13.286651437449052, 13.831022646856152, 14.359760461372645, 14.86817530335106, 15.351414440540077, 15.8049733951948, 16.224695944076778, 16.60677411845399, 16.947748204100858, 17.24450674129823, 17.49428652483341, 17.694672604000118, 17.843676352269263, 17.94043189834086, 17.984868145833612, 17.977366503605637, 17.918765297521034, 17.810359770449878, 17.653902082268225, 17.451601309858095, 17.206123447107508, 16.920591404910436, 16.598585011166865, 16.244089190900983, 15.8604489566608, 15.45138315583388, 15.020768749732003, 14.572299773233034, 14.10948733478095, 13.635659616385816, 13.153961873623789, 12.667356435637133, 12.178622705134211, 11.690357158389423, 11.204973345243406, 10.724701889102743, 10.251565754977415, 9.787112711424639, 9.332546725378137, 8.88893329827496, 8.457203014368059, 8.038151540726274, 7.632439627234343, 7.240593106592892, 6.863002894318448, 6.499924988743416, 6.151480471016109, 5.81765550510073, 5.498301337777381, 5.193156978099695, 4.902000239575008, 4.624531909078272, 4.360420038580648, 4.109315169097066, 3.8708503306862174, 3.6446410424505675, 3.430285312536347, 3.227363638133551, 3.0354390054759466, 2.8540568898410665, 2.6827452555502083, 2.52101455596844, 2.368357733504602, 2.2242542586652454, 2.0882969304587338, 1.9601366380061453, 1.8394113717541638, 1.7257659054021213, 1.6188517959019972, 1.5183273834584192, 1.4238577915286645, 1.335114926822655, 1.251777479302963, 1.1735309221848105, 1.1000675119360632, 1.0310862882772418, 0.9662930741814993, 0.90540412893567, 0.8482145072357195, 0.7945387480643098, 0.7441858471858576, 0.6969708770620969, 0.6527149868520811, 0.6112454024121808, 0.5723954262960856, 0.536004437754803, 0.5019178927366594, 0.4699873238872975, 0.44007034054968097, 0.41203062876409025, 0.38573795126812355, 0.3610796853412978, 0.33796898097827327, 0.31631881297766484, 0.29604512141228245, 0.27706683147822675, 0.2593058534948887, 0.24268708290494986, 0.22713840027438228, 0.21259067129244869, 0.19897774677170194, 0.18623646264798518, 0.174306639980433, 0.1631310849514703, 0.15265716346111344, 0.1428504554547858]"
